Variant name,variant
AM.3,Ancestral
AY.1,Delta
AY.100,Delta
AY.104,Delta
AY.109,Delta
AY.117,Delta
AY.33,Delta
AY.77,Delta
AY.81,Delta
AY.99,Delta
AY.99.1,Delta
B,Ancestral
B.1,Ancestral
B.1.1.111,Ancestral
B.1.1.12,Ancestral
B.1.1.123,Ancestral
B.1.1.134,Ancestral
B.1.1.136,Ancestral
B.1.1.168,Ancestral
B.1.1.178,Ancestral
B.1.1.180,Ancestral
B.1.1.189,Ancestral
B.1.1.192,Ancestral
B.1.1.197,Ancestral
B.1.1.207,Ancestral
B.1.1.221,Ancestral
B.1.1.253,Ancestral
B.1.1.254,Ancestral
B.1.1.269,Ancestral
B.1.1.33,Ancestral
B.1.1.359,Ancestral
B.1.1.363,Ancestral
B.1.1.373,Ancestral
B.1.1.375,Ancestral
B.1.1.398,Ancestral
B.1.1.4,Ancestral
B.1.1.40,Ancestral
B.1.1.408,Ancestral
B.1.1.463,Ancestral
B.1.1.529,Ancestral
B.1.1.61,Ancestral
B.1.1.71,Ancestral
B.1.1.8,Ancestral
B.1.1.86,Ancestral
B.1.1.95,Ancestral
B.1.1.98,Ancestral
B.1.106,Ancestral
B.1.110,Ancestral
B.1.128,Ancestral
B.1.178,Ancestral
B.1.187,Ancestral
B.1.188,Ancestral
B.1.195,Ancestral
B.1.198,Ancestral
B.1.201,Ancestral
B.1.205,Ancestral
B.1.220,Ancestral
B.1.23,Ancestral
B.1.234,Ancestral
B.1.250,Ancestral
B.1.334,Ancestral
B.1.35,Ancestral
B.1.379,Ancestral
B.1.384,Ancestral
B.1.391,Ancestral
B.1.40,Ancestral
B.1.439,Ancestral
B.1.443,Ancestral
B.1.530,Ancestral
B.1.543,Ancestral
B.1.575,Ancestral
B.1.617.2,Ancestral
B.1.70,Ancestral
B.1.76,Ancestral
B.1.8,Ancestral
B.1.97,Ancestral
B.11,Ancestral
B.12,Ancestral
B.15,Ancestral
B.23,Ancestral
B.30,Ancestral
B.32,Ancestral
B.42,Ancestral
B.47,Ancestral
B.58,Ancestral
B.60,Ancestral
BA.1,BA.1
BA.1.1,BA.1.1
BA.1.1.1,BA.1.1
BA.1.1.10,BA.1.1
BA.1.1.11,BA.1.1
BA.1.1.12,BA.1.1
BA.1.1.13,BA.1.1
BA.1.1.14,BA.1.1
BA.1.1.15,BA.1.1
BA.1.1.16,BA.1.1
BA.1.1.17,BA.1.1
BA.1.1.18,BA.1.1
BA.1.1.2,BA.1.1
BA.1.1.3,BA.1.1
BA.1.1.4,BA.1.1
BA.1.1.5,BA.1.1
BA.1.1.6,BA.1.1
BA.1.1.7,BA.1.1
BA.1.1.8,BA.1.1
BA.1.1.9,BA.1.1
BA.1.10,BA.1
BA.1.12,BA.1
BA.1.13,BA.1
BA.1.13.1,BA.1
BA.1.14,BA.1
BA.1.14.1,BA.1
BA.1.14.2,BA.1
BA.1.15,BA.1
BA.1.15.1,BA.1
BA.1.15.2,BA.1
BA.1.15.3,BA.1
BA.1.16,BA.1
BA.1.16.1,BA.1
BA.1.16.2,BA.1
BA.1.17,BA.1
BA.1.17.1,BA.1
BA.1.17.2,BA.1
BA.1.18,BA.1
BA.1.19,BA.1
BA.1.20,BA.1
BA.1.21,BA.1
BA.1.21.1,BA.1
BA.1.23,BA.1
BA.1.3,BA.1
BA.1.4,BA.1
BA.1.5,BA.1
BA.1.6,BA.1
BA.1.7,BA.1
BA.1.8,BA.1
BA.1.9,BA.1
BA.2,BA.2
BA.2.1,BA.2
BA.2.10,BA.2
BA.2.10.1,BA.2
BA.2.10.3,BA.2
BA.2.10.4,BA.2
BA.2.11,BA.2
BA.2.12,BA.2
BA.2.12.1,BA.2.12.1
BA.2.12.2,BA.2
BA.2.13,BA.2
BA.2.13.1,BA.2
BA.2.14,BA.2
BA.2.15,BA.2
BA.2.16,BA.2
BA.2.17,BA.2
BA.2.18,BA.2
BA.2.19,BA.2
BA.2.2,BA.2
BA.2.2.1,BA.2
BA.2.20,BA.2
BA.2.21,BA.2
BA.2.22,BA.2
BA.2.23,BA.2
BA.2.24,BA.2
BA.2.25,BA.2
BA.2.25.1,BA.2
BA.2.26,BA.2
BA.2.27,BA.2
BA.2.28,BA.2
BA.2.29,BA.2
BA.2.3,BA.2
BA.2.3.11,BA.2
BA.2.3.12,BA.2
BA.2.3.13,BA.2
BA.2.3.14,BA.2
BA.2.3.15,BA.2
BA.2.3.16,BA.2
BA.2.3.17,BA.2
BA.2.3.18,BA.2
BA.2.3.2,BA.2
BA.2.3.21,BA.2
BA.2.3.4,BA.2
BA.2.3.5,BA.2
BA.2.3.6,BA.2
BA.2.3.7,BA.2
BA.2.3.8,BA.2
BA.2.30,BA.2
BA.2.31,BA.2
BA.2.31.1,BA.2
BA.2.32,BA.2
BA.2.33,BA.2
BA.2.34,BA.2
BA.2.35,BA.2
BA.2.36,BA.2
BA.2.37,BA.2
